SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity,z_vcb,z_spl,z_art,Dim.1,Dim.2,Orthographic_Sensitivity,Semantic_Sensitivity,List,accuracy,average_response_time,cond_trig,correct,counter,cresp,datetime,experiment_file,logfile,response,response_time,trial_type,family_size,complexity,target,total_correct,total_response_time,total_responses,word_trig,targ_type,base,affix,Source,FS,BF,LogBF,Family_Size,Base_Frequency,BaseLength,WholeFormLength,Sublist,Complexity,LogBF_std,FS_std,BF_std,Dim.2_std
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,78.3783783784,737.189189189,203,1,37,z,09/22/17 12:38:57,BA,subject-103.csv,z,656,NW,S,SIMP,altarig,29,27276,37,7,NW_S_SIMP,altar,ic,Crepaldi,2,403,6,Small Family,High BF,5,7,1,Simple,-0.25507119802068473,-0.7082702760123252,-0.4849675163186773,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,78.9473684211,743.052631579,203,1,38,z,09/22/17 12:38:57,BA,subject-103.csv,z,960,NW,S,SIMP,elmilt,30,28236,38,10,NW_S_SIMP,elm,ist,Crepaldi,2,175,5.16,Small Family,High BF,3,6,1,Simple,-0.8019594029906075,-0.7082702760123252,-0.5781052700126349,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,78.0487804878,746.365853659,204,1,41,z,09/22/17 12:38:57,BA,subject-103.csv,z,907,NW,L,SIMP,breakidy,32,30601,41,23,NW_L_SIMP,break,ity,RastleFiller,43,6366,8.76,Large Family,High BF,5,8,1,Simple,1.5418471897376334,2.5508358562963807,1.9509115419140817,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,79.0697674419,751.627906977,203,1,43,z,09/22/17 12:38:57,BA,subject-103.csv,z,928,NW,S,SIMP,heightenge,34,32320,43,18,NW_S_SIMP,height,ence,Rastle,2,912,6.82,Small Family,High BF,6,10,1,Simple,0.2787958592118593,-0.7082702760123252,-0.2770415661861141,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,74.5762711864,733.898305085,204,1,59,z,09/22/17 12:38:57,BA,subject-103.csv,z,720,NW,L,SIMP,kingilm,44,43300,59,19,NW_L_SIMP,king,ish,Rastle,11,2275,7.73,Large Family,High BF,4,7,1,Simple,0.8712580812626093,0.007143265226171272,0.2797424613790796,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,75.4098360656,730.868852459,204,1,61,z,09/22/17 12:38:57,BA,subject-103.csv,z,847,NW,L,SIMP,fellowoes,46,44583,61,17,NW_L_SIMP,fellow,ous,Crepaldi,11,1324,7.19,Large Family,High BF,6,9,1,Simple,0.5196870923533731,0.007143265226171272,-0.10874001126545393,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,75.8064516129,733.967741935,203,1,62,z,09/22/17 12:38:57,BA,subject-103.csv,z,923,NW,S,SIMP,ejectenge,47,45506,62,20,NW_S_SIMP,eject,ence,RastleFiller,5,66,4.19,Small Family,High BF,5,9,1,Simple,-1.4334850682534945,-0.469799095599493,-0.622631652261062,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,75.7142857143,735.128571429,204,1,70,z,09/22/17 12:38:57,BA,subject-103.csv,z,919,NW,L,SIMP,flitenge,53,51459,70,3,NW_L_SIMP,flit,ence,Crepaldi,11,599,6.4,Large Family,High BF,4,8,1,Simple,0.0053517567268978735,0.007143265226171272,-0.4049017280554506,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,77.6315789474,732.907894737,203,1,76,z,09/22/17 12:38:57,BA,subject-103.csv,z,849,NW,S,SIMP,treasonime,59,55701,76,14,NW_S_SIMP,treason,ize,Crepaldi,4,138,4.93,Small Family,High BF,7,10,1,Simple,-0.9517026019704677,-0.5492894890704371,-0.5932197300419174,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,76.3513513514,736.790540541,203,1,148,z,09/22/17 12:38:57,BA,subject-103.csv,z,972,NW,S,SIMP,yankody,113,109045,148,23,NW_S_SIMP,yank,ory,RastleFiller,2,51,3.93,Small Family,High BF,4,7,1,Simple,-1.6027599888394233,-0.7082702760123252,-0.6287591360567171,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,71.9512195122,752.091463415,203,1,164,z,09/22/17 12:38:57,BA,subject-103.csv,z,849,NW,S,SIMP,debtith,118,123343,164,22,NW_S_SIMP,debt,ish,RastleFiller,4,656,6.49,Small Family,High BF,4,7,1,Simple,0.06394692154510381,-0.5492894890704371,-0.38161728963196123,0.28599175173429253
S103,Hampshire,MissingEEG,0,1,2017-09-22,Female,20,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,69,11,86.25,41,9,82,48,18,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,High Orthographic,High Semantic,BA,71.2574850299,755.281437126,204,1,167,z,09/22/17 12:38:57,BA,subject-103.csv,z,802,NW,L,SIMP,coldidy,119,126132,167,10,NW_L_SIMP,cold,ity,Crepaldi,14,3585,8.18,Large Family,High BF,4,7,1,Simple,1.164233905353639,0.24561444563900342,0.8148760461996253,0.28599175173429253
